大木護,1934年9月15日
大北敏博,1952年2月18日
大久保秀昭,1969年7月3日
大久保博元,1967年2月1日
大久保勝信,1976年9月13日
大久保美智男,1960年7月29日
大熊伸行,1942年3月24日
大倉英貴,1944年7月1日
大沢紀三男,1926年2月16日
大沢清,1916年12月1日
大下剛史,1944年11月29日
大島公一,1967年6月17日
大島崇行,1983年12月20日
大嶋匠,1990年2月14日
大島忠一,1949年8月15日
大島信雄,1921年10月2日
大島裕行,1981年6月15日
大島康徳,1950年10月16日
大須賀允,1980年3月8日
大隅正人,1948年2月17日
太田紘一,1940年12月23日
太田幸司,1952年1月23日
太田貴,1965年11月28日
太田龍生,1964年4月29日
太田敏行,1930年6月22日
太田文高,1936年2月8日
太田正男,1933年8月9日
太田勝,1938年8月1日
大竹憲治,1951年7月31日
大津淳,1932年1月2日
大塚晶文,1972年1月13日
大塚明,1975年4月28日
大塚賢一,1968年8月3日
大塚鶴雄,1939年3月26日
大隣憲司,1984年11月19日
大友進,1974年6月18日
大友工,1925年2月19日
大西崇之,1971年7月2日
大西宏明,1980年4月28日
大沼幸二,1979年7月3日
大野和哉,1971年9月16日
大野久,1960年8月15日
大野雄次,1961年2月2日
大野豊,1955年8月30日
大野倫,1973年4月3日
大羽進,1940年9月19日
大場隆広,1948年6月23日
大場豊千,1977年7月12日
大庭宏,1937年3月31日
大橋勲,1941年3月25日
大畑裕勝,1975年5月13日
大原和男,1948年3月10日
大原徹也,1957年7月24日
大引啓次,1984年6月29日
大町定夫,1953年4月21日
大松尚逸,1982年6月16日
大道典良,1969年10月28日
大嶺翔太,1991年9月17日
大宮清,1939年4月10日
大宮龍男,1954年6月19日
大村巌,1969年5月31日
大村直之,1976年2月13日
大森剛,1967年8月4日
大矢根博臣,1935年7月1日
大山暁史,1988年10月6日
大累進,1990年8月31日
大和田正海,1949年8月31日
岡義朗,1953年11月22日
岡上和典,1979年1月4日
岡崎郁,1961年6月7日
岡崎恒人,1936年3月29日
小笠原孝,1976年11月29日
小笠原道大,1973年10月25日
岡島厚,1961年5月27日
岡島秀樹,1975年12月25日
岡嶋博治,1935年5月5日
岡田彰布,1957年11月25日
岡田源三郎,1896年3月25日
緒方耕一,1968年9月2日
緒方孝市,1968年12月25日
緒方俊明,1922年4月23日
岡田展和,1968年1月21日
岡田幸文,1984年7月6日
岡田福吉,1917年4月25日
尾形佳紀,1978年8月5日
緒方凌介,1990年8月25日
岡野八郎,1916年12月8日
岡野義光,1938年11月28日
岡部憲章,1958年4月11日
岡本晃,1973年5月3日
岡本克道,1973年6月9日
岡本圭右,1956年8月16日
岡本光,1960年8月17日
岡本真或,1974年10月21日
岡本三男,1921年3月15日
岡本洋介,1985年9月27日
小川邦和,1947年2月1日
小川健太郎,1934年1月12日
小川滋夫,1935年9月9日
小川祥志,1970年4月27日
小川清一,1952年7月28日
小川達明,1958年12月27日
小川敏明,1939年4月13日
小川博,1962年4月2日
小川弘文,1945年5月15日
小川将俊,1979年1月18日
小川宗直,1962年5月23日
小川裕介,1979年6月16日
小川善治,1924年6月2日
沖実郎,1927年7月12日
興津立雄,1936年5月19日
荻野一雄,1941年6月21日
沖原佳典,1972年7月27日
荻原隆,1931年4月26日
奥田敏輝,1949年1月2日
奥田直也,1953年6月21日
奥原為雄,1935年10月13日
奥村武博,1979年7月17日
小倉薫,1932年10月30日
小倉恒,1970年8月10日
淡河弘,1940年2月19日
長田克史,1957年6月25日
長田昌浩,1984年6月10日
長内孝,1957年8月30日
小沢浩一,1967年1月14日
小沢重光,1933年10月15日
小沢文夫,1935年12月5日
押本健彦,1982年10月28日
オスカル,1991年3月28日
小瀬浩之,1985年9月2日
小関竜也,1976年7月24日
小田幸平,1977年3月15日
小田智之,1979年5月19日
織田光正,1941年4月30日
小田嶋正邦,1979年4月12日
小田野柏,1917年1月14日
越智大祐,1983年6月30日
落合英二,1969年7月25日
落合博満,1953年12月9日
音重鎮,1963年11月18日
小野和幸,1962年8月19日
小野和義,1965年11月13日
小野剛,1978年5月6日
小野幸一,1972年5月13日
小野公誠,1974年7月11日
小野正一,1933年9月30日
小野晋吾,1975年4月7日
小野仁,1976年8月23日
尾上旭,1959年4月22日
小野寺在二郎,1971年9月27日
小野寺力,1980年11月26日
小畑幸司,1973年7月23日
於保浩己,1975年8月9日
小俣進,1951年8月18日
小美濃武芳,1965年8月24日
小山田保裕,1976年7月27日
織田淳哉,1972年8月8日
貝塚博次,1956年8月9日
貝塚政秀,1974年12月25日
加賀繁,1985年4月13日
垣内哲也,1970年6月6日
柿沢貴裕,1994年7月30日
柿田裕太,1992年8月27日
柿本実,1935年10月5日
覚前昌也,1981年7月9日
加倉一馬,1957年10月19日
加倉井実,1934年6月29日
掛布雅之,1955年5月9日
葛西稔,1967年5月5日
風岡尚幸,1968年1月24日
笠原栄一,1966年6月11日
笠原和夫,1920年6月3日
笠原将生,1991年1月9日
笠原大芽,1995年1月20日
笠原正行,1933年9月7日
笠間雄二,1953年3月22日
鹿島忠,1961年10月7日
柏田貴史,1971年5月14日
柏原純一,1952年6月15日
梶原和隆,1979年7月29日
梶原康司,1978年4月20日
片岡篤史,1969年6月27日
片岡新之介,1947年11月5日
片岡宏雄,1936年6月15日
片岡光宏,1962年3月22日
片貝義明,1951年9月27日
片瀬清利,1964年2月3日
片平哲也,1967年10月3日
片山栄次,1917年1月5日
片山大樹,1975年2月24日
片山博,1923年11月12日
加地健三郎,1940年3月15日
甲藤啓介,1983年11月12日
勝亦治,1952年4月30日
葛城育郎,1977年9月28日
葛城隆雄,1936年12月21日
加藤一昭,1930年11月7日
加藤健,1981年3月23日
加藤康介,1978年7月2日
加藤正二,1914年3月3日
加藤伸一,1965年7月19日
加藤進,1923年9月24日
加藤大輔,1980年7月27日
加藤高康,1969年6月7日
加藤斌,1944年5月21日
加藤武治,1978年3月24日
歌藤達夫,1978年6月15日
加藤竜人,1976年8月11日
加藤哲郎,1964年4月12日
加藤初,1949年12月20日
加藤秀司,1948年5月24日
加藤博一,1951年10月9日
加藤博人,1969年4月29日
門岡信行,1943年9月3日
門倉健,1973年7月29日
門田純良,1951年4月5日
鹿取義隆,1957年3月10日
金井正幸,1952年5月25日
金沢岳,1984年5月5日
金澤健人,1979年1月12日
金森栄治,1957年1月24日
金森隆浩,1972年8月12日
金谷剛,1978年7月30日
金山次郎,1922年7月19日
金山仙吉,1951年10月30日
金石昭人,1960年12月26日
金子一輝,1995年5月29日
金子勝美,1949年5月31日
金子誠一,1964年7月23日
金子裕,1914年9月9日
金子誠,1975年11月8日
金城基泰,1952年10月16日
金田進,1960年6月15日
金田留広,1946年11月17日
金田正一,1933年8月1日
